date,btc_etf_vol_proxy_usd,eth_etf_vol_proxy_usd
2024-12-13,2193729241.2197113,96288434.4657898
2024-12-16,3853724780.117798,164188703.10783386
2024-12-17,3013282898.2868195,85301136.66267395
2024-12-18,3994749207.320404,245502281.5568924
2024-12-19,4353736705.123901,293014156.47239685
2024-12-20,3032522274.981308,142692501.01776123
2024-12-23,2354221747.438431,108711717.4873352
2024-12-24,1557160508.323288,34086189.823150635
2024-12-26,1438982559.7816467,65060009.110450745
2024-12-27,1931567450.9811401,60888490.0062561
2024-12-30,2106656969.985962,78180602.09655762
2024-12-31,1599117957.0022583,63773521.04187012
2025-01-02,2271786760.1760864,85209888.22479248
2025-01-03,1837698389.9345398,66907078.479766846
2025-01-06,2752511241.357422,79746719.01550293
2025-01-07,3127511874.2599487,200730853.92189026
2025-01-08,2510767147.1824646,106634000.0
2025-01-10,2368750030.713272,67991573.81019592
2025-01-13,2387795184.7686768,107099160.47515869
2025-01-14,1687272680.3466797,36746624.064445496
2025-01-15,2385942982.2891235,66018580.525398254
2025-01-16,2029435325.4241943,56474460.61706543
2025-01-17,4219074806.4136505,103076396.19998932
2025-01-21,3831274377.8915405,105637433.25614929
2025-01-22,2236719942.233658,58753478.49330902
2025-01-23,6948837012.213135,161793375.55618286
2025-01-24,2751113345.1580048,66702897.992134094
2025-01-27,3531889464.8605347,132196946.16508484
2025-01-28,1742198115.4022217,73928701.39827728
2025-01-29,2258444801.8074036,132803262.84160614
2025-01-30,1999383836.8682861,64374130.17959595
2025-01-31,2408717254.787445,121501765.9942627
2025-02-03,4253141077.2506714,417064095.1915741
2025-02-04,2727788952.9079437,145546061.1190796
2025-02-05,1366927695.236206,83464921.37832642
2025-02-06,1561240897.7462769,54223424.545288086
2025-02-07,2259268581.6314697,72041721.96807861
2025-02-10,1181355106.7848206,49488781.68182373
2025-02-11,1490335513.81073,72167692.53730774
2025-02-12,1899997226.7440796,102055856.21795654
2025-02-13,1325321128.6376953,46837506.6444397
2025-02-14,1521873832.3638916,56509492.67692566
2025-02-18,2043573590.8985138,57629505.19886017
2025-02-19,1588243809.3452454,27569216.444778442
2025-02-20,1446667019.6342468,31592857.68547058
2025-02-21,2619897223.031616,144856835.03494263
2025-02-24,2035540550.1846313,52575596.72718048
2025-02-25,5194874929.248047,131457254.78897095
2025-02-26,4112536349.494171,113689219.99053955
2025-02-27,2052456708.85849,86064397.6512909
2025-02-28,2857153661.016083,119928142.4829483
2025-03-03,4512203630.799103,208722984.06066895
2025-03-04,3573865294.8349,168059033.74328613
2025-03-05,2523167940.6391144,74946623.62384796
2025-03-06,2545925969.314575,73561178.44543457
2025-03-07,2933724891.1125183,82942200.0
2025-03-10,3829870894.987488,149102148.02093506
2025-03-11,2294102029.5108795,76202491.07265472
2025-03-12,1518050879.1275024,73774360.3591919
2025-03-13,1951460627.6245117,84945696.42028809
2025-03-14,2107097401.28479,50803045.35675049
2025-03-17,1393658337.8231049,51058255.11627197
2025-03-18,1574945901.2050629,37364052.269268036
2025-03-19,1983910232.9101562,93639240.95211029
2025-03-20,1459860388.4468079,42197541.957092285
2025-03-21,865349563.8408661,36016123.99673462
2025-03-24,1497035003.1044006,49746963.8710022
2025-03-25,1095373468.6660767,30157358.670043945
2025-03-26,1413521732.7713013,38449844.11907196
2025-03-27,1631717714.6759033,41415732.73086548
2025-03-28,1795361515.8409119,61603302.645111084
2025-03-31,1123945580.973816,52067620.913505554
2025-04-01,1455747487.0052338,53381231.48803711
2025-04-02,1909928721.1017609,81966665.84224701
2025-04-03,1894281307.58667,52595189.59522247
2025-04-04,3276188385.131836,104920351.87530518
2025-04-07,4762659616.247177,195385540.80028534
2025-04-08,2181823354.6375275,88044958.62350464
2025-04-09,4004335113.569641,227290103.46107483
2025-04-10,2066333185.2371216,65498216.79382324
2025-04-11,2584834145.713806,73872878.59725952
2025-04-14,1569795192.3095703,54454121.542453766
2025-04-15,1145841198.2860565,72762566.13016129
2025-04-16,1317125454.8568726,113494918.36004257
2025-04-17,1156483295.777893,50255353.542137146
2025-04-21,2840349537.7349854,48419910.56442261
2025-04-22,4361080401.329041,119497027.64339447
2025-04-23,3243098646.5091705,93738048.720932
2025-04-24,1516663668.2029724,59516190.309524536
2025-04-25,2617496392.0783997,62176793.894958496
2025-04-28,1840389972.4838257,56258344.282245636
2025-04-29,1692423118.1030273,36227477.18219757
2025-04-30,1829485438.6138916,41874031.075668335
2025-05-01,2901502910.285187,57382338.57078552
2025-05-02,2397950250.3318787,27832049.762821198
2025-05-05,1338481477.6576996,20960010.21194458
2025-05-06,1110632464.1204834,26059040.267944336
2025-05-07,1620026241.041565,24292744.1242218
2025-05-08,3194971320.7740784,110618365.26870728
