date,stablecoin_mcap_usd,stablecoin_mcap_change_usd,btc_oi_value_usd,eth_oi_value_usd
2024-12-07,138176856741.0,,,
2024-12-08,138401080741.0,224224000.0,,
2024-12-09,138337361929.0,-63718812.0,,
2024-12-10,138781859312.0,444497383.0,,
2024-12-11,138915791058.0,133931746.0,,
2024-12-12,140005800450.0,1090009392.0,,
2024-12-13,140404910980.0,399110530.0,,
2024-12-14,140448004125.0,43093145.0,,
2024-12-15,140537641436.0,89637311.0,,
2024-12-16,140568004125.0,30362689.0,,
2024-12-17,140758577764.0,190573639.0,,
2024-12-18,140880782929.0,122205165.0,,
2024-12-19,140922490659.0,41707730.0,,
2024-12-20,140886878527.0,-35612132.0,,
2024-12-21,140385777553.0,-501100974.0,,
2024-12-22,140061740871.0,-324036682.0,,
2024-12-23,140292853908.0,231113037.0,,
2024-12-24,139688611814.0,-604242094.0,,
2024-12-25,139664974670.0,-23637144.0,,
2024-12-26,139675859154.0,10884484.0,,
2024-12-27,139531857650.0,-144001504.0,,
2024-12-28,139272991974.0,-258865676.0,,
2024-12-29,139205722458.0,-67269516.0,,
2024-12-30,138851015375.0,-354707083.0,,
2024-12-31,137825770033.0,-1025245342.0,,
2025-01-01,137388677499.0,-437092534.0,,
2025-01-02,137416189761.0,27512262.0,,
2025-01-03,137562831740.0,146641979.0,,
2025-01-04,137474579521.0,-88252219.0,,
2025-01-05,137521413557.0,46834036.0,,
2025-01-06,137563370382.0,41956825.0,,
2025-01-07,137645514579.0,82144197.0,,
2025-01-08,137505135441.0,-140379138.0,,
2025-01-09,137935774895.0,430639454.0,,
2025-01-10,137761713901.0,-174060994.0,,
2025-01-11,137722241100.0,-39472801.0,,
2025-01-12,137665311556.0,-56929544.0,,
2025-01-13,137735645823.0,70334267.0,,
2025-01-14,137530090663.0,-205555160.0,,
2025-01-15,137582647233.0,52556570.0,,
2025-01-16,137762258053.0,179610820.0,,
2025-01-17,137802584445.0,40326392.0,,
2025-01-18,138480973594.0,678389149.0,,
2025-01-19,138531794731.0,50821137.0,,
2025-01-20,138529717130.0,-2077601.0,,
2025-01-21,138761501548.0,231784418.0,,
2025-01-22,138819926586.0,58425038.0,,
2025-01-23,139155191071.0,335264485.0,,
2025-01-24,139236520740.0,81329669.0,,
2025-01-25,139763773679.0,527252939.0,,
2025-01-26,139767735496.0,3961817.0,,
2025-01-27,139760049115.0,-7686381.0,,
2025-01-28,139822724633.0,62675518.0,,
2025-01-29,139923109874.0,100385241.0,,
2025-01-30,139982628523.0,59518649.0,,
2025-01-31,139968547355.0,-14081168.0,,
2025-02-01,139945461409.0,-23085946.0,,
2025-02-02,139940662041.0,-4799368.0,,
2025-02-03,140116092699.0,175430658.0,,
2025-02-04,139934356581.0,-181736118.0,,
2025-02-05,141281000185.0,1346643604.0,,
2025-02-06,141868639474.0,587639289.0,,
2025-02-07,141827071091.0,-41568383.0,,
2025-02-08,142126491830.0,299420739.0,,
2025-02-09,142199011789.0,72519959.0,,
2025-02-10,142191510636.0,-7501153.0,,
2025-02-11,142323303749.0,131793113.0,,
2025-02-12,142266481024.0,-56822725.0,,
2025-02-13,142417199851.0,150718827.0,,
2025-02-14,142225869513.0,-191330338.0,,
2025-02-15,142413856453.0,187986940.0,,
2025-02-16,142412375399.0,-1481054.0,,
2025-02-17,142412375399.0,0.0,,
2025-02-18,142163336327.0,-249039072.0,,
2025-02-19,142066249126.0,-97087201.0,,
2025-02-20,142682643615.0,616394489.0,,
2025-02-21,142752651764.0,70008149.0,,
2025-02-22,142951416400.0,198764636.0,,
2025-02-23,142951416393.0,-7.0,,
2025-02-24,142857128577.0,-94287816.0,,
2025-02-25,142667676864.0,-189451713.0,,
2025-02-26,142332418484.0,-335258380.0,,
2025-02-27,142231635810.0,-100782674.0,,
2025-02-28,142525896059.0,294260249.0,,
2025-03-01,142586943414.0,61047355.0,,
2025-03-02,142739869168.0,152925754.0,,
2025-03-03,142684548875.0,-55320293.0,,
2025-03-04,142848550247.0,164001372.0,,
2025-03-05,142862979376.0,14429129.0,,
2025-03-06,143086711350.0,223731974.0,,
2025-03-07,143108096504.0,21385154.0,,
2025-03-08,143185417260.0,77320756.0,,
2025-03-09,143259042700.0,73625440.0,,
2025-03-10,143200297503.0,-58745197.0,,
2025-03-11,143300960349.0,100662846.0,,
2025-03-12,143525244008.0,224283659.0,,
2025-03-13,143678737175.0,153493167.0,,
2025-03-14,143748815811.0,70078636.0,,
2025-03-15,143836896633.0,88080822.0,,
2025-03-16,143827259557.0,-9637076.0,,
2025-03-17,143825677336.0,-1582221.0,,
2025-03-18,144041499822.0,215822486.0,,
2025-03-19,144100778448.0,59278626.0,,
2025-03-20,144204251547.0,103473099.0,,
2025-03-21,143883754562.0,-320496985.0,,
2025-03-22,144166459229.0,282704667.0,,
2025-03-23,144217665673.0,51206444.0,,
2025-03-24,144224155757.0,6490084.0,,
2025-03-25,144459985751.0,235829994.0,,
2025-03-26,144698008877.0,238023126.0,,
2025-03-27,144839155508.0,141146631.0,,
2025-03-28,144807717547.0,-31437961.0,,
2025-03-29,144457723251.0,-349994296.0,,
2025-03-30,144464659666.0,6936415.0,,
2025-03-31,144616291852.0,151632186.0,,
2025-04-01,144731665618.0,115373766.0,,
2025-04-02,144727200008.0,-4465610.0,,
2025-04-03,144754922251.0,27722243.0,,
2025-04-04,144734168751.0,-20753500.0,,
2025-04-05,144716239738.0,-17929013.0,,
2025-04-06,144655271475.0,-60968263.0,,
2025-04-07,144517737938.0,-137533537.0,,
2025-04-08,144751594183.0,233856245.0,,
2025-04-09,144670289020.0,-81305163.0,,
2025-04-10,144975956402.0,305667382.0,,
2025-04-11,144791330664.0,-184625738.0,,
2025-04-12,144941453849.0,150123185.0,,
2025-04-13,145156651309.0,215197460.0,,
2025-04-14,144991807560.0,-164843749.0,,
2025-04-15,144988134604.0,-3672956.0,,
2025-04-16,145230969405.0,242834801.0,,
2025-04-17,145411564253.0,180594848.0,,
2025-04-18,145389131100.0,-22433153.0,,
2025-04-19,145019803019.0,-369328081.0,,
2025-04-20,145212905298.0,193102279.0,,
2025-04-21,145204655279.0,-8250019.0,,
2025-04-22,145254984859.0,50329580.0,,
2025-04-23,145771856311.0,516871452.0,,
