date,btc_oi_value_usd,eth_oi_value_usd
2025-11-07,8336692202.3616,5695331016.800655
2025-11-08,8969884426.8117,5909985149.38661
2025-11-09,8619042452.0858,5775211772.93856
2025-11-10,8949148311.6024,6091500073.892331
2025-11-11,9202894150.2238,6184515402.73008
2025-11-12,8821820136.904993,5701241284.289837
2025-11-13,8736888776.5278,5845471573.6696
2025-11-14,9130386257.669498,5845343647.645557
2025-11-15,8829245667.32,5301352680.6619835
2025-11-16,9256685640.1646,5668928490.21155
2025-11-17,9299540400.680899,5659201705.180052
2025-11-18,9338177158.8544,5970885146.045546
2025-11-19,9287504651.1564,6108026215.56127
2025-11-20,9227186355.764154,6117131391.43326
2025-11-21,9097192182.318638,5697785809.113894
2025-11-22,8373797978.3565445,5169739413.244982
2025-11-23,8372771128.379602,5263369107.931744
2025-11-24,8389728522.0945,5193574915.110918
2025-11-25,8224813410.722476,5578261609.71618
2025-11-26,7861700429.808,5387059774.14764
2025-11-27,8048699931.72,5775866431.2084
2025-11-28,8235254701.266157,5634058192.30749
2025-11-29,8110502573.7204,5710839758.3576
2025-11-30,8031472952.8599,5693463981.95968
2025-12-01,8182255546.7384405,5626226798.019516
2025-12-02,7624302890.105775,5441523092.592485
2025-12-03,8111364002.7134,5807305053.312
2025-12-04,8247814177.551556,6299241324.524776
2025-12-05,8214704928.959209,6264691036.27451
2025-12-06,7742134475.442725,6279993997.273399
